Total Visits,Unique Visitors,Avg Session Duration,Bounce Rate,Journeys Per Session,Avg Time on Journey,Most Visited Journey,Journey Steps,Time on Step,Conversion Rate,Lead Conversion Rate,Document Downloads,Purchases,Feedback Score,Search Query Frequency,Search Result CTR,Social Shares,Page Load Time,Error Rates,User Demographics,Behavioral Segment,Date
1123,1102,4.57,41.17,3,1.33,Dealer Search,dealer-search.finish,4.34,4.63,2.35,186,14,4.6,dealership locations,31.99,43,3.55,0.07,"35-44, Female",Frequent Buyer,2023-01-08
1475,1058,6.18,66.14,4,2.45,Car Configurator,inventory-check.skoda-model-2,1.65,2.81,3.63,165,6,4.3,car pricing,23.71,79,2.76,0.04,"35-44, Female",Frequent Buyer,2023-01-10
960,1051,6.25,20.96,2,2.27,Car Configurator,car-configurator.step-2,3.0,4.45,4.35,58,9,3.9,car pricing,25.42,43,3.6,0.07,"18-24, Female",New Visitor,2023-01-27
1077,1067,4.61,48.5,5,3.6,Car Configurator,brandportal.finish,3.96,7.63,3.58,168,19,4.6,dealership locations,41.55,48,1.44,0.02,"25-34, Male",Returning Visitor,2023-01-27
1132,1033,8.65,30.89,4,4.07,Brandportal,car-configurator.finish,2.94,7.53,2.55,185,16,3.6,dealership locations,39.41,68,3.43,0.05,"18-24, Female",Returning Visitor,2023-01-25
1151,1063,8.28,51.58,3,2.88,Brandportal,inventory-check.skoda-model-2,3.63,2.82,2.66,52,30,3.3,new car models,28.61,86,1.06,0.06,"18-24, Female",New Visitor,2023-01-09
1274,1060,6.56,53.65,4,2.14,Inventory Check,car-configurator.step-2,2.12,4.9,4.38,184,20,4.1,new car models,30.44,87,3.78,0.02,"25-34, Male",Frequent Buyer,2023-01-13
1363,889,9.51,42.12,1,2.8,Brandportal,dealer-search.finish,4.9,6.18,0.53,103,13,4.4,new car models,42.61,85,2.43,0.07,"18-24, Female",Frequent Buyer,2023-01-17
1464,966,5.78,34.38,2,3.62,Dealer Search,inventory-check.booking,2.15,8.29,2.44,144,20,3.2,dealership locations,32.15,93,3.29,0.05,"25-34, Male",New Visitor,2023-01-10
866,875,5.42,34.37,1,3.41,Inventory Check,dealer-search.finish,2.23,7.93,1.98,141,10,3.4,car pricing,25.26,65,2.37,0.09,"25-34, Male",New Visitor,2023-01-06
1411,974,6.32,39.96,5,1.45,Inventory Check,inventory-check.skoda-model-1,2.19,6.7,1.73,84,9,4.3,new car models,28.27,65,2.29,0.04,"18-24, Female",Frequent Buyer,2023-01-05
1344,1023,5.62,54.66,1,4.48,Inventory Check,brandportal.skoda-model-2,3.7,9.32,2.92,135,20,3.0,car pricing,42.98,78,1.89,0.08,"18-24, Female",Returning Visitor,2023-01-23
1486,712,5.39,43.08,3,2.55,Dealer Search,dealer-search.dealer-1,1.47,6.93,4.35,109,8,3.6,new car models,26.99,92,1.78,0.09,"35-44, Female",Frequent Buyer,2023-01-24
1307,779,6.4,54.45,4,4.33,Brandportal,brandportal.finish,1.37,2.01,1.23,81,28,3.6,dealership locations,21.55,87,1.79,0.08,"25-34, Male",New Visitor,2023-01-22
1345,709,5.22,49.1,2,1.75,Brandportal,car-configurator.step-1,3.55,4.99,0.88,174,9,5.0,new car models,44.94,86,3.72,0.09,"35-44, Female",Frequent Buyer,2023-01-16
889,764,5.78,42.39,5,1.1,Brandportal,car-configurator.step-2,4.12,6.49,1.77,50,9,3.4,car pricing,26.82,43,2.82,0.06,"25-34, Male",Frequent Buyer,2023-01-27
854,1152,5.69,37.66,1,1.54,Dealer Search,car-configurator.start,3.85,3.4,2.78,116,17,3.5,new car models,38.42,91,1.36,0.03,"18-24, Female",New Visitor,2023-01-05
1237,771,4.93,35.95,4,2.09,Inventory Check,brandportal.skoda-model-1,3.7,4.95,4.5,175,13,4.7,new car models,34.23,67,1.04,0.03,"18-24, Female",Frequent Buyer,2023-01-24
1367,788,3.42,20.99,4,1.97,Dealer Search,inventory-check.skoda-model-2,3.68,1.66,2.79,191,23,3.8,car pricing,48.79,57,2.2,0.05,"18-24, Female",New Visitor,2023-01-18
956,977,7.73,28.11,2,2.66,Inventory Check,dealer-search.dealer-1,2.51,2.35,1.03,85,25,3.3,new car models,35.63,75,2.53,0.01,"25-34, Male",New Visitor,2023-01-11
1180,1064,7.87,38.05,1,1.37,Brandportal,inventory-check.skoda-model-2,4.41,8.08,2.54,123,28,4.6,new car models,38.26,57,1.61,0.06,"18-24, Female",Frequent Buyer,2023-01-19
1387,1190,7.82,38.24,4,4.62,Inventory Check,inventory-check.skoda-model-2,3.75,3.53,3.29,147,26,4.4,new car models,25.76,57,1.71,0.08,"25-34, Male",Frequent Buyer,2023-01-05
834,726,7.13,21.99,5,2.04,Car Configurator,inventory-check.skoda-model-1,4.32,9.97,1.33,98,10,4.4,car pricing,20.18,72,1.32,0.1,"18-24, Female",Returning Visitor,2023-01-04
1431,893,9.59,36.53,4,1.07,Dealer Search,brandportal.skoda-model-2,1.24,3.58,1.38,70,19,3.6,new car models,32.14,61,1.25,0.07,"25-34, Male",New Visitor,2023-01-03
1222,1007,6.99,43.58,5,4.71,Car Configurator,inventory-check.skoda-model-2,3.12,7.9,3.0,198,18,4.3,car pricing,26.54,74,3.21,0.03,"18-24, Female",Returning Visitor,2023-01-17
1188,1149,3.74,67.42,1,3.46,Car Configurator,car-configurator.step-2,2.29,1.32,1.17,170,16,3.3,car pricing,26.76,97,1.61,0.03,"35-44, Female",Returning Visitor,2023-01-05
1219,858,4.96,59.98,4,1.28,Inventory Check,inventory-check.skoda-model-2,3.75,7.39,4.59,199,14,3.9,car pricing,34.57,58,3.1,0.03,"25-34, Male",New Visitor,2023-01-07
1278,827,8.15,37.16,4,4.36,Brandportal,brandportal.skoda-model-2,4.49,8.03,4.18,75,28,3.1,new car models,40.01,43,2.87,0.06,"25-34, Male",Frequent Buyer,2023-01-16
1413,1028,7.12,58.9,1,1.62,Brandportal,dealer-search.dealer-2,1.63,3.98,3.96,112,6,4.1,dealership locations,41.69,65,3.48,0.01,"25-34, Male",Returning Visitor,2023-01-29
1473,741,9.91,63.36,3,2.83,Brandportal,inventory-check.skoda-model-2,1.85,1.82,0.54,156,5,3.1,dealership locations,25.95,51,1.38,0.04,"35-44, Female",Returning Visitor,2023-01-25
904,760,3.19,32.25,5,1.49,Dealer Search,brandportal.finish,1.99,4.38,4.55,127,29,3.5,car pricing,43.87,79,3.31,0.06,"18-24, Female",Returning Visitor,2023-01-29
825,979,8.18,60.67,1,4.49,Dealer Search,dealer-search.dealer-1,4.22,6.41,4.16,126,19,3.7,dealership locations,24.33,65,1.46,0.01,"35-44, Female",New Visitor,2023-01-11
1012,980,5.04,50.09,5,1.46,Car Configurator,brandportal.skoda-model-2,2.7,3.89,3.82,101,21,4.2,car pricing,28.95,68,3.97,0.03,"18-24, Female",Returning Visitor,2023-01-10
1457,742,7.33,68.91,1,4.54,Dealer Search,dealer-search.finish,2.13,5.51,3.21,60,19,4.9,car pricing,41.38,86,3.17,0.08,"25-34, Male",Frequent Buyer,2023-01-27
1388,951,5.25,44.47,2,4.14,Inventory Check,brandportal.skoda-model-2,2.38,6.94,2.8,78,8,3.7,car pricing,23.17,81,1.06,0.04,"25-34, Male",New Visitor,2023-01-04
917,1196,6.01,48.66,3,3.34,Brandportal,inventory-check.booking,4.67,2.47,2.84,68,7,3.4,car pricing,45.55,92,3.05,0.06,"18-24, Female",Returning Visitor,2023-01-28
1092,966,3.53,43.7,2,3.11,Car Configurator,brandportal.skoda-model-1,4.28,1.99,1.5,118,26,3.4,new car models,26.08,41,2.42,0.02,"25-34, Male",Returning Visitor,2023-01-02
1079,1186,9.56,37.01,2,2.31,Inventory Check,inventory-check.skoda-model-2,2.44,2.86,0.97,118,13,3.3,car pricing,34.47,92,3.14,0.02,"18-24, Female",Returning Visitor,2023-01-16
1265,1038,4.1,27.04,2,2.15,Brandportal,brandportal.skoda-model-2,2.2,5.67,4.56,86,6,3.6,dealership locations,41.14,56,1.2,0.08,"25-34, Male",Returning Visitor,2023-01-10
980,927,5.12,24.51,4,2.44,Car Configurator,inventory-check.skoda-model-2,1.47,9.23,3.69,123,23,4.1,car pricing,40.88,75,1.55,0.01,"35-44, Female",Frequent Buyer,2023-01-22
878,1181,9.21,64.01,2,3.66,Inventory Check,dealer-search.dealer-2,3.7,7.75,2.29,173,5,4.9,dealership locations,36.46,71,1.65,0.09,"25-34, Male",Returning Visitor,2023-01-22
888,1044,4.62,54.66,4,2.26,Inventory Check,car-configurator.step-2,3.7,5.97,4.68,84,7,4.6,dealership locations,47.28,86,3.39,0.03,"18-24, Female",New Visitor,2023-01-20
1023,1114,8.77,41.04,2,2.48,Brandportal,car-configurator.step-2,4.78,8.65,1.24,91,13,3.3,dealership locations,27.02,85,2.05,0.07,"35-44, Female",New Visitor,2023-01-25
815,790,5.25,42.01,3,4.53,Brandportal,car-configurator.start,4.25,3.69,4.85,74,27,4.6,new car models,20.65,49,3.29,0.1,"35-44, Female",Frequent Buyer,2023-01-08
1405,869,7.39,42.6,5,2.1,Brandportal,dealer-search.finish,1.01,1.8,1.23,75,17,3.9,car pricing,26.42,86,2.14,0.1,"35-44, Female",Returning Visitor,2023-01-23
1265,801,8.15,66.18,5,2.1,Dealer Search,dealer-search.dealer-1,1.02,6.52,1.43,113,12,3.8,dealership locations,27.46,96,3.99,0.06,"35-44, Female",Returning Visitor,2023-01-14
1398,742,8.83,61.47,5,4.76,Brandportal,dealer-search.finish,4.8,7.35,2.53,65,26,3.3,dealership locations,32.78,100,2.95,0.01,"18-24, Female",Returning Visitor,2023-01-03
892,1169,9.62,66.08,1,2.87,Brandportal,inventory-check.skoda-model-2,3.14,1.08,4.87,70,6,4.0,car pricing,34.85,86,1.94,0.1,"18-24, Female",Returning Visitor,2023-01-12
1307,976,5.66,50.29,3,2.71,Inventory Check,brandportal.skoda-model-1,1.06,7.01,1.25,162,23,4.9,car pricing,33.55,84,3.51,0.05,"35-44, Female",New Visitor,2023-01-05
1438,728,8.02,55.87,2,4.28,Dealer Search,dealer-search.finish,4.01,2.47,2.95,170,25,4.9,car pricing,39.06,80,3.13,0.03,"18-24, Female",Returning Visitor,2023-01-03
1233,790,6.05,58.96,2,2.52,Brandportal,car-configurator.step-1,4.77,6.61,1.86,173,9,3.7,new car models,32.85,56,2.44,0.09,"25-34, Male",Frequent Buyer,2023-01-03
1003,961,6.82,46.32,4,4.92,Car Configurator,inventory-check.skoda-model-1,4.84,7.07,2.37,79,9,4.8,dealership locations,46.49,82,1.35,0.03,"35-44, Female",Frequent Buyer,2023-01-05
1242,700,5.83,62.81,3,1.51,Inventory Check,brandportal.skoda-model-2,2.19,1.22,2.51,52,10,4.6,dealership locations,29.83,72,3.63,0.07,"18-24, Female",New Visitor,2023-01-16
1313,1071,4.97,69.55,1,4.75,Dealer Search,inventory-check.booking,2.64,1.9,1.3,61,13,4.3,car pricing,33.55,66,3.18,0.07,"35-44, Female",Returning Visitor,2023-01-19
900,704,5.41,31.63,3,1.54,Inventory Check,car-configurator.finish,4.85,3.75,2.56,135,11,4.1,new car models,44.69,66,3.94,0.06,"35-44, Female",Returning Visitor,2023-01-13
1008,1100,7.55,51.62,2,4.64,Car Configurator,inventory-check.skoda-model-1,3.08,8.93,1.4,181,8,3.2,car pricing,42.36,57,3.11,0.06,"35-44, Female",Returning Visitor,2023-01-03
860,807,7.12,30.88,3,3.61,Car Configurator,inventory-check.booking,4.26,5.17,2.74,73,21,3.7,dealership locations,48.36,77,2.25,0.09,"18-24, Female",New Visitor,2023-01-25
1318,783,4.62,62.13,1,1.28,Car Configurator,car-configurator.step-2,4.04,1.89,2.55,196,24,4.5,dealership locations,31.18,67,3.79,0.08,"35-44, Female",Returning Visitor,2023-01-03
1047,814,3.65,59.23,5,2.49,Inventory Check,brandportal.skoda-model-2,4.18,9.14,3.14,200,5,4.9,new car models,33.48,41,2.56,0.07,"18-24, Female",New Visitor,2023-01-16
1360,1200,9.69,47.49,3,3.44,Dealer Search,brandportal.skoda-model-2,3.07,2.18,2.02,96,20,3.9,car pricing,47.6,53,3.34,0.06,"25-34, Male",New Visitor,2023-01-24
823,1037,9.63,20.25,1,1.2,Brandportal,brandportal.skoda-model-2,2.53,5.62,2.17,97,11,4.3,dealership locations,31.36,43,1.47,0.03,"18-24, Female",New Visitor,2023-01-09
